client_recieve_time,card_id,id,topic,raw,column,row
2025-08-13 05:39:46.164,6974,42,/row/4/column/7/id/42/reader/response,03030c03843d3c4769740100000000b227,7,4
2025-08-13 05:39:46.211,6974,41,/row/4/column/6/id/41/reader/response,03030c03843d3c4769740100000000b227,6,4
2025-08-13 05:39:46.268,6974,42,/row/4/column/7/id/42/reader/response,03030c03843d3c4769740100000000b227,7,4
2025-08-13 05:39:46.372,6974,42,/row/4/column/7/id/42/reader/response,03030c03843d3c4769740100000000b227,7,4
2025-08-13 05:39:46.477,6974,42,/row/4/column/7/id/42/reader/response,03030c03843d3c4769740100000000b227,7,4
2025-08-13 05:39:46.591,6974,42,/row/4/column/7/id/42/reader/response,03030c03843d3c4769740100000000b227,7,4
2025-08-13 05:39:46.695,6974,42,/row/4/column/7/id/42/reader/response,03030c03843d3c4769740100000000b227,7,4
2025-08-13 05:39:46.800,6974,42,/row/4/column/7/id/42/reader/response,03030c03843d3c4769740100000000b227,7,4
2025-08-13 05:39:46.895,6976,72,/row/7/column/1/id/72/reader/response,03030c03843d3c4769760100000000b3c5,1,7
2025-08-13 05:39:46.904,6974,43,/row/4/column/8/id/43/reader/response,03030c03843d3c4769740100000000b227,8,4
2025-08-13 05:39:46.908,6974,42,/row/4/column/7/id/42/reader/response,03030c03843d3c4769740100000000b227,7,4
2025-08-13 05:39:46.948,6974,43,/row/4/column/8/id/43/reader/response,03030c03843d3c4769740100000000b227,8,4
2025-08-13 05:39:47.011,6974,42,/row/4/column/7/id/42/reader/response,03030c03843d3c4769740100000000b227,7,4
2025-08-13 05:39:47.039,6974,43,/row/4/column/8/id/43/reader/response,03030c03843d3c4769740100000000b227,8,4
2025-08-13 05:39:47.246,6974,32,/row/3/column/9/id/32/reader/response,03030c03843d3c4769740100000000b227,9,3
2025-08-13 05:39:47.288,6974,32,/row/3/column/9/id/32/reader/response,03030c03843d3c4769740100000000b227,9,3
2025-08-13 05:39:47.400,6974,33,/row/3/column/10/id/33/reader/response,03030c03843d3c4769740100000000b227,10,3
2025-08-13 05:39:47.430,6974,34,/row/3/column/11/id/34/reader/response,03030c03843d3c4769740100010100e277,11,3
2025-08-13 05:39:47.444,6974,33,/row/3/column/10/id/33/reader/response,03030c03843d3c4769740100000000b227,10,3
2025-08-13 05:39:47.552,6974,34,/row/3/column/11/id/34/reader/response,03030c03843d3c4769740100000000b227,11,3
2025-08-13 05:39:47.687,6976,72,/row/7/column/1/id/72/reader/response,03030c03843d3c4769760100000000b3c5,1,7
2025-08-13 05:39:47.748,6976,72,/row/7/column/1/id/72/reader/response,03030c03843d3c4769760100000000b3c5,1,7
2025-08-13 05:39:47.870,6976,72,/row/7/column/1/id/72/reader/response,03030c03843d3c4769760100000000b3c5,1,7
2025-08-13 05:39:47.974,6976,72,/row/7/column/1/id/72/reader/response,03030c03843d3c4769760100000000b3c5,1,7
2025-08-13 05:39:48.327,6976,72,/row/7/column/1/id/72/reader/response,03030c03843d3c4769760100000000b3c5,1,7
2025-08-13 05:39:48.868,697b,84,/row/8/column/1/id/84/reader/response,03030c03843d3c47697b0100000000b2d8,1,8
2025-08-13 05:39:48.959,697b,84,/row/8/column/1/id/84/reader/response,03030c03843d3c47697b0100000000b2d8,1,8
2025-08-13 05:39:49.063,697b,84,/row/8/column/1/id/84/reader/response,03030c03843d3c47697b0100000000b2d8,1,8
2025-08-13 05:39:49.168,697b,84,/row/8/column/1/id/84/reader/response,03030c03843d3c47697b0100000000b2d8,1,8
2025-08-13 05:39:49.272,697b,84,/row/8/column/1/id/84/reader/response,03030c03843d3c47697b0100000000b2d8,1,8
2025-08-13 05:39:49.379,697b,84,/row/8/column/1/id/84/reader/response,03030c03843d3c47697b0100000000b2d8,1,8
